salary_grade,salary_range
51,"$39,603 (Minimum)"
52,"$44,865 (Minimum)"
53,"$49,632 (Minimum)"
54,"$50,112 (Minimum)"
55,"$36,352 (Minimum)"
56,"$30,952 (Minimum)"
57,Contact your division
58,"$55,000 (Minimum)"
59,"$20,800–52,000"
60,Contact your division
61,"$39,026 (Minimum)"
62,"$44,229 (Minimum)"
63,"$49,084 (Minimum)"
64,"$55,627 (Minimum)"
65,"$59,220 (Minimum)"
66,"$67,115 (Minimum)"
67,Varies by job title
68,"$40,560 (Minimum)"
69,"$51,404 (Minimum)"
70,"$62,050 (Minimum)"
72,"$39,759 (Minimum)"
73,"$72,983 (Minimum)"
74,"$60,482 (Minimum)"
75,"$47,642 (Minimum)"
77,"$49,331 (Minimum)"
78,"$52,034 (Minimum)"
79,"$65,437 (Minimum)"
80,"$78,954 (Minimum)"
97,Contact your division
98,Not applicable
99,Varies by job title
