salary_grade,salary_range
51,"$47,133 (Minimum)"
52,"$47,133 (Minimum)"
53,"$56,776 (Minimum)"
54,"$56,776 (Minimum)"
55,Contact your division
56,"$30,952 (Minimum)"
57,Contact your division
58,"$62,316 (Minimum)"
59,"$20,800–52,000"
60,Contact your division
61,"$42,226 (Minimum)"
62,"$47,857 (Minimum)"
63,"$53,103 (Minimum)"
64,"$60,184 (Minimum)"
65,"$64,072 (Minimum)"
66,"$72,615 (Minimum)"
67,Varies by job title
68,"$42,182 (Minimum)"
69,"$53,460 (Minimum)"
70,"$64,532 (Minimum)"
72,"$41,349 (Minimum)"
73,"$75,902 (Minimum)"
74,"$62,901 (Minimum)"
75,"$49,548 (Minimum)"
77,"$53,377 (Minimum)"
78,"$56,302 (Minimum)"
79,"$70,804 (Minimum)"
80,"$85,430 (Minimum)"
97,Contact your division
98,Not applicable
99,Varies by job title
