salary_grade,salary_range
51,"$39,603 (Minimum)"
52,"$44,865 (Minimum)"
53,"$49,632 (Minimum)"
54,"$50,111 (Minimum)"
55,"$36,352 (Minimum)"
56,"$30,952 (Minimum)"
57,Contact your division
58,"$55,000 (Minimum)"
59,"$20,800–52,000"
60,Contact your division
61,"$39,806 (Minimum)"
62,"$45,114 (Minimum)"
63,"$50,060 (Minimum)"
64,"$56,734 (Minimum)"
65,"$60,400 (Minimum)"
66,"$68,453 (Minimum)"
67,Varies by job title
68,"$40,560 (Minimum)"
69,"$51,404 (Minimum)"
70,"$62,050 (Minimum)"
72,"$39,759 (Minimum)"
73,"$72,983 (Minimum)"
74,"$60,482 (Minimum)"
75,"$47,642 (Minimum)"
77,"$50,318 (Minimum)"
78,"$53,075 (Minimum)"
79,"$66,746 (Minimum)"
80,"$80,533 (Minimum)"
97,Contact your division
98,Not applicable
99,Varies by job title
